date,slug,techTierSlug,c,perc
2024-07-06,bomber,foundry,32,0.033229491173416406
2024-07-06,bulwark,advancedstarforge,192,0.19937694704049844
2024-07-06,butterfly,starforge,127,0.13187954309449637
2024-07-06,crab,core,101,0.10488058151609553
2024-07-06,crusader,foundry,387,0.40186915887850466
2024-07-06,destroyer,foundry,300,0.3115264797507788
2024-07-06,dragonfly,starforge,387,0.40186915887850466
2024-07-06,falcon,starforge,168,0.17445482866043613
2024-07-06,gunbot,core,160,0.16614745586708204
2024-07-06,heavyballista,advancedfoundry,492,0.5109034267912772
2024-07-06,heavyhunter,foundry,200,0.20768431983385255
2024-07-06,heavyturret,starforge,18,0.018691588785046728
2024-07-06,hornet,core,160,0.16614745586708204
2024-07-06,hunter,core,31,0.032191069574247146
2024-07-06,katbus,advancedstarforge,46,0.04776739356178609
2024-07-06,kingcrab,foundry,176,0.18276220145379024
2024-07-06,kraken,advancedstarforge,12,0.012461059190031152
2024-07-06,locust,advancedstarforge,63,0.06542056074766354
2024-07-06,mammoth,starforge,597,0.6199376947040498
2024-07-06,missilebot,core,130,0.13499480789200416
2024-07-06,mortar,foundry,225,0.2336448598130841
2024-07-06,predator,advancedfoundry,30,0.03115264797507788
2024-07-06,raider,foundry,17,0.017653167185877467
2024-07-06,recall,core,324,0.3364485981308411
2024-07-06,recallhunter,core,113,0.11734164070612668
2024-07-06,recallshocker,foundry,25,0.02596053997923157
2024-07-06,scorpion,core,171,0.17757009345794392
2024-07-06,shocker,foundry,366,0.38006230529595014
2024-07-06,sniper,advancedfoundry,250,0.25960539979231567
2024-07-06,stinger,starforge,74,0.07684319833852545
2024-07-06,swiftshocker,foundry,79,0.08203530633437175
2024-07-06,turret,foundry,6,0.006230529595015576
2024-07-06,valkyrie,advancedstarforge,408,0.4236760124610592
2024-07-06,wasp,core,292,0.3032191069574247
2024-07-07,advancedblink,advancedfoundry,215,0.1996517701683111
2024-07-07,advancedbot,advancedstarforge,82,0.07614625652930934
2024-07-07,advancedrecall,starforge,94,0.08728961114335461
2024-07-07,airship,starforge,509,0.4726639582124202
2024-07-07,artillery,advancedstarforge,49,0.045502031340684854
2024-07-07,assaultbot,advancedfoundry,63,0.05850261172373767
2024-07-07,ballista,foundry,9,0.008357515960533952
2024-07-07,beetle,core,71,0.06593151479976785
2024-07-07,behemoth,advancedfoundry,150,0.13929193267556586
2024-07-07,blink,core,88,0.08171793383633198
2024-07-07,blinkhunter,core,431,0.40023215322112593
2024-07-07,bomber,foundry,33,0.03064422518862449
2024-07-07,bulwark,advancedstarforge,180,0.16715031921067905
2024-07-07,butterfly,starforge,215,0.1996517701683111
2024-07-07,crab,core,115,0.10679048171793383
2024-07-07,crusader,foundry,438,0.40673244341265236
2024-07-07,destroyer,foundry,330,0.3064422518862449
2024-07-07,dragonfly,starforge,404,0.3751596053395241
2024-07-07,falcon,starforge,181,0.16807893209518282
2024-07-07,gunbot,core,222,0.2061520603598375
2024-07-07,heavyballista,advancedfoundry,552,0.5125943122460824
2024-07-07,heavyhunter,foundry,207,0.1922228670922809
2024-07-07,heavyturret,starforge,29,0.026929773650609404
2024-07-07,hornet,core,114,0.10586186883343006
2024-07-07,hunter,core,33,0.03064422518862449
2024-07-07,katbus,advancedstarforge,52,0.04828786999419617
2024-07-07,kingcrab,foundry,214,0.19872315728380732
2024-07-07,kraken,advancedstarforge,24,0.02228670922809054
2024-07-07,locust,advancedstarforge,71,0.06593151479976785
2024-07-07,mammoth,starforge,578,0.5367382472431805
2024-07-07,missilebot,core,149,0.1383633197910621
2024-07-07,mortar,foundry,287,0.2665118978525827
2024-07-07,predator,advancedfoundry,31,0.028786999419616946
2024-07-07,raider,foundry,2,0.001857225769007545
2024-07-07,recall,core,290,0.269297736506094
2024-07-07,recallhunter,core,92,0.08543238537434707
2024-07-07,recallshocker,foundry,7,0.006500290191526407
2024-07-07,scorpion,core,194,0.18015089959373187
2024-07-07,shocker,foundry,394,0.36587347649448637
2024-07-07,sniper,advancedfoundry,197,0.18293673824724319
2024-07-07,stinger,starforge,77,0.07150319210679049
2024-07-07,swiftshocker,foundry,96,0.08914683691236217
2024-07-07,turret,foundry,6,0.005571677307022635
2024-07-07,valkyrie,advancedstarforge,685,0.6360998258850842
2024-07-07,wasp,core,355,0.3296575739988392
2024-07-08,advancedblink,advancedfoundry,123,0.1256544502617801
2024-07-08,advancedbot,advancedstarforge,71,0.0725322436470438
2024-07-08,advancedrecall,starforge,53,0.05414378751117354
2024-07-08,airship,starforge,430,0.4392797854680118
2024-07-08,artillery,advancedstarforge,53,0.05414378751117354
2024-07-08,assaultbot,advancedfoundry,40,0.040863235857489466
2024-07-08,ballista,foundry,8,0.008172647171497892
2024-07-08,beetle,core,12,0.012258970757246839
2024-07-08,behemoth,advancedfoundry,198,0.20227301749457285
2024-07-08,blink,core,86,0.08785595709360235
2024-07-08,blinkhunter,core,355,0.362661218235219
2024-07-08,bomber,foundry,22,0.022474779721619206
2024-07-08,bulwark,advancedstarforge,282,0.2880858127953007
2024-07-08,butterfly,starforge,148,0.151193972672711
2024-07-08,crab,core,66,0.06742433916485761
2024-07-08,crusader,foundry,361,0.3687907036138424
2024-07-08,destroyer,foundry,267,0.2727620993487422
2024-07-08,dragonfly,starforge,367,0.3749201889924658
2024-07-08,falcon,starforge,273,0.2788915847273656
2024-07-08,gunbot,core,190,0.19410037032307495
2024-07-08,heavyballista,advancedfoundry,484,0.49444515387562255
2024-07-08,heavyhunter,foundry,179,0.18286298046226535
2024-07-08,heavyturret,starforge,34,0.034733750478866045
2024-07-08,hornet,core,186,0.19001404673732603
2024-07-08,hunter,core,18,0.01838845613587026
2024-07-08,katbus,advancedstarforge,84,0.08581279530072787
2024-07-08,kingcrab,foundry,189,0.19307878942663773
2024-07-08,kraken,advancedstarforge,91,0.09296386157578854
2024-07-08,locust,advancedstarforge,62,0.06333801557910868
2024-07-08,mammoth,starforge,525,0.5363299706295492
2024-07-08,missilebot,core,149,0.15221555356914826
2024-07-08,mortar,foundry,318,0.3248627250670412
2024-07-08,predator,advancedfoundry,22,0.022474779721619206
2024-07-08,raider,foundry,3,0.0030647426893117098
2024-07-08,recall,core,301,0.30749584982760825
2024-07-08,recallhunter,core,104,0.1062444132294726
2024-07-08,recallshocker,foundry,28,0.028604265100242627
2024-07-08,scorpion,core,210,0.21453198825181968
2024-07-08,shocker,foundry,336,0.3432511812029115
2024-07-08,sniper,advancedfoundry,277,0.28297790831311453
2024-07-08,stinger,starforge,87,0.08887753799003958
2024-07-08,swiftshocker,foundry,74,0.0755969863363555
2024-07-08,turret,foundry,7,0.007151066275060657
2024-07-08,valkyrie,advancedstarforge,377,0.3851359979568382
2024-07-08,wasp,core,281,0.2870642318988635
2024-07-09,advancedblink,advancedfoundry,236,0.19699499165275458
2024-07-09,advancedbot,advancedstarforge,127,0.10601001669449082
2024-07-09,advancedrecall,starforge,123,0.10267111853088481
2024-07-09,airship,starforge,397,0.3313856427378965
2024-07-09,artillery,advancedstarforge,65,0.05425709515859766
2024-07-09,assaultbot,advancedfoundry,118,0.09849749582637729
2024-07-09,ballista,foundry,14,0.011686143572621035
2024-07-09,beetle,core,52,0.04340567612687813
2024-07-09,behemoth,advancedfoundry,316,0.2637729549248748
2024-07-09,blink,core,98,0.08180300500834725
2024-07-09,blinkhunter,core,563,0.4699499165275459
2024-07-09,bomber,foundry,50,0.041736227045075125
2024-07-09,bulwark,advancedstarforge,118,0.09849749582637729
2024-07-09,butterfly,starforge,112,0.09348914858096828
2024-07-09,crab,core,60,0.05008347245409015
2024-07-09,crusader,foundry,471,0.39315525876460766
2024-07-09,destroyer,foundry,378,0.31552587646076796
2024-07-09,dragonfly,starforge,563,0.4699499165275459
2024-07-09,falcon,starforge,205,0.17111853088480802
2024-07-09,gunbot,core,189,0.15776293823038398
2024-07-09,heavyballista,advancedfoundry,459,0.3831385642737897
2024-07-09,heavyhunter,foundry,176,0.14691151919866444
2024-07-09,heavyturret,starforge,34,0.028380634390651086
2024-07-09,hornet,core,166,0.13856427378964942
2024-07-09,hunter,core,22,0.018363939899833055
2024-07-09,katbus,advancedstarforge,363,0.3030050083472454
2024-07-09,kingcrab,foundry,198,0.1652754590984975
2024-07-09,kraken,advancedstarforge,37,0.030884808013355594
2024-07-09,locust,advancedstarforge,123,0.10267111853088481
2024-07-09,mammoth,starforge,662,0.5525876460767947
2024-07-09,missilebot,core,137,0.11435726210350584
2024-07-09,mortar,foundry,297,0.24791318864774625
2024-07-09,predator,advancedfoundry,94,0.07846410684474124
2024-07-09,raider,foundry,3,0.0025041736227045075
2024-07-09,recall,core,326,0.27212020033388984
2024-07-09,recallhunter,core,112,0.09348914858096828
2024-07-09,recallshocker,foundry,27,0.022537562604340568
2024-07-09,scorpion,core,467,0.38981636060100167
2024-07-09,shocker,foundry,464,0.38731218697829717
2024-07-09,sniper,advancedfoundry,178,0.14858096828046743
2024-07-09,stinger,starforge,147,0.12270450751252086
2024-07-09,swiftshocker,foundry,93,0.07762938230383973
2024-07-09,turret,foundry,22,0.018363939899833055
2024-07-09,valkyrie,advancedstarforge,518,0.4323873121869783
2024-07-09,wasp,core,204,0.17028380634390652
2024-07-10,advancedblink,advancedfoundry,205,0.1880949650189242
2024-07-10,advancedbot,advancedstarforge,128,0.11744466108498682
2024-07-10,advancedrecall,starforge,152,0.13946553503842185
2024-07-10,airship,starforge,361,0.3312306457162519
2024-07-10,artillery,advancedstarforge,55,0.05046450280995527
2024-07-10,assaultbot,advancedfoundry,101,0.0926711778873724
2024-07-10,ballista,foundry,8,0.007340291317811676
2024-07-10,beetle,core,9,0.008257827732538135
2024-07-10,behemoth,advancedfoundry,224,0.20552815689872692
2024-07-10,blink,core,98,0.08991856864319303
2024-07-10,blinkhunter,core,525,0.48170661773139123
2024-07-10,bomber,foundry,47,0.04312421149214359
2024-07-10,bulwark,advancedstarforge,89,0.0816607409106549
2024-07-10,butterfly,starforge,120,0.11010436976717514
2024-07-10,crab,core,51,0.04679435715104943
2024-07-10,crusader,foundry,357,0.32756050005734605
2024-07-10,destroyer,foundry,349,0.32022020873953433
2024-07-10,dragonfly,starforge,462,0.4239018236036243
2024-07-10,falcon,starforge,255,0.23397178575524716
2024-07-10,gunbot,core,146,0.13396031655006307
2024-07-10,heavyballista,advancedfoundry,427,0.3917880490881982
2024-07-10,heavyhunter,foundry,196,0.17983713728638606
2024-07-10,heavyturret,starforge,23,0.021103337538708567
2024-07-10,hornet,core,125,0.11469205184080743
2024-07-10,hunter,core,7,0.006422754903085216
2024-07-10,katbus,advancedstarforge,246,0.22571395802270902
2024-07-10,kingcrab,foundry,210,0.19268264709255647
