date,count
2024-07-04,226
2024-07-05,245
2024-07-06,232
2024-07-07,256
2024-07-08,256
2024-07-09,294
2024-07-10,282
2024-07-11,299
2024-07-12,316
2024-07-13,300
2024-07-14,268
2024-07-15,272
